device, serialNo, Battery Level, Measure Date Time, Body Fat Percentage, Basal Metabolism, Skeletal Muscle Percentage, Weight, BMI, Visceral Fat Level, Body Age
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-03-29T06:15:57, 21.1, 1224.9044, 31.5, 46.7, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-03-29T06:18:29, 21.1, 1224.9044, 31.5, 46.7, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-03-30T13:07:14, 21.4, 1231.8356, 32.6, 46.9, 18.3, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-03-30T16:21:00, 19.6, 1238.7667, 35.5, 46.4, 18.1, 3, 39
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-03-31T06:10:55, 21.2, 1226.8164, 31.4, 46.9, 18.3, 4, 43
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-01T06:29:10, 21.1, 1224.9044, 32.1, 46.6, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-02T06:41:14, 20.9, 1222.9923, 31.3, 46.6, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-03T05:43:32, 21.2, 1226.8164, 32.1, 46.7, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-04T06:12:39, 20.9, 1221.7974, 31.9, 46.4, 18.1, 3, 41
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-05T06:21:40, 21.0, 1223.9484, 31.7, 46.6, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-06T06:14:07, 20.4, 1213.9102, 31.5, 46.0, 18.0, 3, 41
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-07T06:04:42, 21.0, 1224.9044, 31.4, 46.7, 18.2, 4, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-08T06:11:08, 20.7, 1216.7782, 31.9, 46.1, 18.0, 3, 41
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-09T05:59:14, 20.7, 1217.9733, 32.1, 46.1, 18.0, 3, 41
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-10T05:50:56, 21.4, 1231.8356, 31.4, 47.2, 18.4, 4, 43
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-11T05:53:01, 20.7, 1219.8853, 31.4, 46.4, 18.1, 3, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-12T05:43:43, 21.1, 1223.9484, 32.1, 46.5, 18.2, 3, 41
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-13T05:49:55, 20.7, 1217.9733, 32.0, 46.1, 18.0, 3, 41
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-14T05:45:20, 20.7, 1219.8853, 31.4, 46.4, 18.1, 3, 42
05A0B685-49C7-4500-B4AA-89EDB1591831, 180301752F_SW, 100, 2021-04-15T06:04:04, 21.1, 1227.7725, 31.1, 47.0, 18.4, 4, 43
